2018-04-04T09:37:47.187Z - info: Smart Irrigation System is up and running...
2018-04-04T09:37:49.759Z - info: User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
Execution took 2 ms, user function completed successfully
2018-04-04T09:53:39.515Z - info: Execution took 2 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T09:53:39.518Z - info: User function triggered, starting execution
User function triggered, starting execution
2018-04-04T09:53:39.519Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.521Z - info: Execution took 2 ms, user function completed successfully
2018-04-04T09:53:39.526Z - info: User function triggered, starting execution
Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.533Z - info: User function triggered, starting execution
Execution took 0 ms, user function completed successfully
2018-04-04T09:53:39.535Z - info: User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
2018-04-04T09:53:39.536Z - info: User function triggered, starting execution
2018-04-04T09:53:39.537Z - info: Execution took 4 ms, user function completed successfully
2018-04-04T09:53:39.538Z - info: Execution took 2 ms, user function completed successfully
2018-04-04T09:53:39.539Z - info: User function triggered, starting execution
2018-04-04T09:53:39.540Z - info: User function triggered, starting execution
2018-04-04T09:53:39.541Z - info: Execution took 4 ms, user function completed successfully
2018-04-04T09:53:39.544Z - info: Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
Execution took 9 ms, user function completed successfully
2018-04-04T09:53:39.546Z - info: User function triggered, starting execution
2018-04-04T09:53:39.548Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.601Z - info: User function triggered, starting execution
2018-04-04T09:53:39.602Z - info: Execution took 0 ms, user function completed successfully
2018-04-04T09:53:39.645Z - info: User function triggered, starting execution
2018-04-04T09:53:39.647Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.673Z - info: User function triggered, starting execution
2018-04-04T09:53:39.674Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.697Z - info: User function triggered, starting execution
2018-04-04T09:53:39.698Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.710Z - info: User function triggered, starting execution
2018-04-04T09:53:39.712Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.724Z - info: User function triggered, starting execution
2018-04-04T09:53:39.726Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:53:39.736Z - info: User function triggered, starting execution
2018-04-04T09:53:39.737Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:54:42.977Z - info: User function triggered, starting execution
2018-04-04T09:54:43.801Z - info: Execution took 823 ms, user function completed successfully
2018-04-04T09:54:43.830Z - info: User function triggered, starting execution
Execution took 2 ms, user function completed successfully
2018-04-04T09:54:43.833Z - info: User function triggered, starting execution
2018-04-04T09:54:43.838Z - info: User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
Execution took 4 ms, user function completed successfully
2018-04-04T09:54:43.840Z - info: Execution took 5 ms, user function completed successfully
Execution took 5 ms, user function completed successfully
2018-04-04T09:54:43.843Z - info: Execution took 6 ms, user function completed successfully
Execution took 5 ms, user function completed successfully
2018-04-04T09:54:43.845Z - info: User function triggered, starting execution
2018-04-04T09:54:43.848Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.849Z - info: User function triggered, starting execution
2018-04-04T09:54:43.850Z - info: User function triggered, starting execution
2018-04-04T09:54:43.851Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.851Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.858Z - info: User function triggered, starting execution
2018-04-04T09:54:43.859Z - info: User function triggered, starting execution
2018-04-04T09:54:43.864Z - info: Execution took 2 ms, user function completed successfully
Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.865Z - info: User function triggered, starting execution
2018-04-04T09:54:43.866Z - info: User function triggered, starting execution
2018-04-04T09:54:43.868Z - info: User function triggered, starting execution
User function triggered, starting execution
2018-04-04T09:54:43.871Z - info: Execution took 5 ms, user function completed successfully
Execution took 5 ms, user function completed successfully
2018-04-04T09:54:43.873Z - info: User function triggered, starting execution
User function triggered, starting execution
2018-04-04T09:54:43.874Z - info: Execution took 7 ms, user function completed successfully
2018-04-04T09:54:43.876Z - info: Execution took 7 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
2018-04-04T09:54:43.887Z - info: User function triggered, starting execution
Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.889Z - info: User function triggered, starting execution
Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.892Z - info: User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
User function triggered, starting execution
2018-04-04T09:54:43.895Z - info: Execution took 2 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
User function triggered, starting execution
Execution took 3 ms, user function completed successfully
2018-04-04T09:54:43.898Z - info: Execution took 1 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
2018-04-04T09:54:43.899Z - info: User function triggered, starting execution
2018-04-04T09:54:43.901Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:54:43.905Z - info: User function triggered, starting execution
2018-04-04T09:54:43.906Z - info: User function triggered, starting execution
2018-04-04T09:54:43.906Z - info: User function triggered, starting execution
2018-04-04T09:54:43.909Z - info: Execution took 2 ms, user function completed successfully
Execution took 3 ms, user function completed successfully
Execution took 2 ms, user function completed successfully
2018-04-04T09:54:44.740Z - info: User function triggered, starting execution
2018-04-04T09:54:44.741Z - info: Execution took 1 ms, user function completed successfully
2018-04-04T09:57:52.380Z - info: User function triggered, starting execution
2018-04-04T09:57:54.855Z - info: อายุมันสำปะหลัง => 364 วัน
2018-04-04T09:57:54.855Z - info: แปลงมันสำปะหลัง
ความสูงของน้ำไหลเข้าแปลง 3.61075 มิลลิเมตร/ชั่วโมง
วันเริ่มปลูก 2018-04-02 ETp จำนวนวัน => 366
2018-04-04T09:57:54.857Z - info: วันที่รดน้ำ => 2018-04-02
สัปดาห์ที่ 0 จากทั้งหมด 52 สัปดาห์
2018-04-04T09:57:54.857Z - info: ค่า ETp ประจำวัน => 4.091352537098118
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2274057611294353
2018-04-04T09:57:54.857Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-06
2018-04-04T09:57:54.857Z - info: accumulated ETc = 2.8931370781034778
2018-04-04T09:57:54.857Z - info: วันที่ 92 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 49 นาที รวม 49 นาที
day[1] of 364 @2018-04-06
next day = 4
day of 1
2018-04-04T09:57:54.857Z - info: วันที่รดน้ำ => 2018-04-06
2018-04-04T09:57:54.858Z - info: สัปดาห์ที่ 0 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.105926886924836
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2317780660774507
วันที่รดน้ำครั้งต่อไป => 2018-04-10
accumulated ETc = 2.9855279497445815
วันที่ 96 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 50 นาที รวม 50 นาที
day[6] of 364 @2018-04-10
2018-04-04T09:57:54.858Z - info: next day = 9
day of 2
2018-04-04T09:57:54.858Z - info: วันที่รดน้ำ => 2018-04-10
สัปดาห์ที่ 1 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.116831170463543
2018-04-04T09:57:54.858Z - info: ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.235049351139063
2018-04-04T09:57:54.858Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-14
accumulated ETc = 3.0890292091813025
2018-04-04T09:57:54.858Z - info: วันที่ 100 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 52 นาที รวม 52 นาที
2018-04-04T09:57:54.858Z - info: day[11] of 364 @2018-04-14
next day = 14
day of 3
2018-04-04T09:57:54.858Z - info: วันที่รดน้ำ => 2018-04-14
สัปดาห์ที่ 2 จากทั้งหมด 52 สัปดาห์
2018-04-04T09:57:54.858Z - info: ค่า ETp ประจำวัน => 4.1240433995252275
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2372130198575682
2018-04-04T09:57:54.858Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-18
2018-04-04T09:57:54.859Z - info: accumulated ETc = 3.2029635323498518
2018-04-04T09:57:54.859Z - info: วันที่ 104 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 54 นาที รวม 54 นาที
2018-04-04T09:57:54.859Z - info: day[16] of 364 @2018-04-18
next day = 19
day of 4
2018-04-04T09:57:54.859Z - info: วันที่รดน้ำ => 2018-04-18
สัปดาห์ที่ 2 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.128096031578217
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.238428809473465
2018-04-04T09:57:54.859Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-22
2018-04-04T09:57:54.859Z - info: accumulated ETc = 3.3281469051968102
2018-04-04T09:57:54.859Z - info: วันที่ 108 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 0 ชั่วโมง 56 นาที รวม 56 นาที
2018-04-04T09:57:54.859Z - info: day[21] of 364 @2018-04-22
next day = 24
day of 5
2018-04-04T09:57:54.859Z - info: วันที่รดน้ำ => 2018-04-22
2018-04-04T09:57:54.859Z - info: สัปดาห์ที่ 3 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.130021467633081
ค่า Kc => 0.3
ค่า ETc ประจำวัน => 1.2390064402899241
2018-04-04T09:57:54.859Z - info: วันที่รดน้ำครั้งต่อไป => 2018-04-26
2018-04-04T09:57:54.860Z - info: accumulated ETc = 3.7590623071677642
2018-04-04T09:57:54.860Z - info: วันที่ 112 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 1 ชั่วโมง 3 นาที รวม 63 นาที
2018-04-04T09:57:54.860Z - info: day[26] of 364 @2018-04-26
next day = 29
day of 6
วันที่รดน้ำ => 2018-04-26
2018-04-04T09:57:54.860Z - info: สัปดาห์ที่ 4 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.131180587920889
ค่า Kc => 0.4
2018-04-04T09:57:54.860Z - info: ค่า ETc ประจำวัน => 1.6524722351683558
2018-04-04T09:57:54.860Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-01
accumulated ETc = 6.06084109958376
2018-04-04T09:57:54.860Z - info: วันที่ 116 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 41 นาที รวม 101 นาที
2018-04-04T09:57:54.860Z - info: day[31] of 364 @2018-05-01
next day = 35
day of 7
2018-04-04T09:57:54.860Z - info: วันที่รดน้ำ => 2018-05-01
2018-04-04T09:57:54.860Z - info: สัปดาห์ที่ 5 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.133766021631228
2018-04-04T09:57:54.860Z - info: ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6535064086524913
2018-04-04T09:57:54.860Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-06
accumulated ETc = 6.403694635463155
2018-04-04T09:57:54.861Z - info: วันที่ 121 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 47 นาที รวม 107 นาที
2018-04-04T09:57:54.861Z - info: day[37] of 364 @2018-05-06
next day = 41
day of 8
2018-04-04T09:57:54.861Z - info: วันที่รดน้ำ => 2018-05-06
2018-04-04T09:57:54.861Z - info: สัปดาห์ที่ 6 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.139904565647421
2018-04-04T09:57:54.861Z - info: ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6559618262589684
2018-04-04T09:57:54.861Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-11
accumulated ETc = 6.768279637027776
2018-04-04T09:57:54.861Z - info: วันที่ 126 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 53 นาที รวม 113 นาที
2018-04-04T09:57:54.861Z - info: day[43] of 364 @2018-05-11
next day = 47
day of 9
2018-04-04T09:57:54.861Z - info: วันที่รดน้ำ => 2018-05-11
2018-04-04T09:57:54.861Z - info: สัปดาห์ที่ 6 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.1510873627000295
ค่า Kc => 0.4
2018-04-04T09:57:54.861Z - info: ค่า ETc ประจำวัน => 1.660434945080012
2018-04-04T09:57:54.862Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-16
accumulated ETc = 7.124731548460798
2018-04-04T09:57:54.862Z - info: วันที่ 131 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 1 ชั่วโมง 59 นาที รวม 119 นาที
2018-04-04T09:57:54.862Z - info: day[49] of 364 @2018-05-16
next day = 53
day of 10
2018-04-04T09:57:54.862Z - info: วันที่รดน้ำ => 2018-05-16
สัปดาห์ที่ 7 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.167351661290538
2018-04-04T09:57:54.862Z - info: ค่า Kc => 0.4
ค่า ETc ประจำวัน => 1.6669406645162153
วันที่รดน้ำครั้งต่อไป => 2018-05-21
accumulated ETc = 9.683239339057367
2018-04-04T09:57:54.862Z - info: วันที่ 136 ของปี ต้องให้น้ำห่างกัน 5 วัน เป็นเวลา 2 ชั่วโมง 41 นาที รวม 161 นาที
2018-04-04T09:57:54.862Z - info: day[55] of 364 @2018-05-21
next day = 59
day of 11
2018-04-04T09:57:54.862Z - info: วันที่รดน้ำ => 2018-05-21
สัปดาห์ที่ 8 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.187069879682059
2018-04-04T09:57:54.862Z - info: ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.512241927809235
2018-04-04T09:57:54.863Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-25
accumulated ETc = 9.199394587061729
2018-04-04T09:57:54.863Z - info: วันที่ 141 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 33 นาที รวม 153 นาที
2018-04-04T09:57:54.863Z - info: day[61] of 364 @2018-05-25
next day = 64
day of 12
วันที่รดน้ำ => 2018-05-25
สัปดาห์ที่ 9 จากทั้งหมด 52 สัปดาห์
2018-04-04T09:57:54.863Z - info: ค่า ETp ประจำวัน => 4.203220683471916
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.5219324100831497
2018-04-04T09:57:54.863Z - info: วันที่รดน้ำครั้งต่อไป => 2018-05-29
accumulated ETc = 9.384380556811902
2018-04-04T09:57:54.863Z - info: วันที่ 145 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 36 นาที รวม 156 นาที
day[66] of 364 @2018-05-29
next day = 69
day of 13
2018-04-04T09:57:54.863Z - info: วันที่รดน้ำ => 2018-05-29
2018-04-04T09:57:54.864Z - info: สัปดาห์ที่ 10 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.217331939612071
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.530399163767243
2018-04-04T09:57:54.864Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-02
2018-04-04T09:57:54.864Z - info: accumulated ETc = 9.518109979379783
2018-04-04T09:57:54.864Z - info: วันที่ 149 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 39 นาที รวม 159 นาที
day[71] of 364 @2018-06-02
2018-04-04T09:57:54.864Z - info: next day = 74
day of 14
2018-04-04T09:57:54.864Z - info: วันที่รดน้ำ => 2018-06-02
2018-04-04T09:57:54.864Z - info: สัปดาห์ที่ 10 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.2268958115456
ค่า Kc => 0.6
2018-04-04T09:57:54.864Z - info: ค่า ETc ประจำวัน => 2.5361374869273603
2018-04-04T09:57:54.864Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-06
accumulated ETc = 9.61609455981124
2018-04-04T09:57:54.864Z - info: วันที่ 153 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 40 นาที รวม 160 นาที
2018-04-04T09:57:54.864Z - info: day[76] of 364 @2018-06-06
next day = 79
day of 15
2018-04-04T09:57:54.864Z - info: วันที่รดน้ำ => 2018-06-06
สัปดาห์ที่ 11 จากทั้งหมด 52 สัปดาห์
2018-04-04T09:57:54.865Z - info: ค่า ETp ประจำวัน => 4.229398162028197
ค่า Kc => 0.6
ค่า ETc ประจำวัน => 2.537638897216918
2018-04-04T09:57:54.865Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-10
accumulated ETc = 9.693274032440659
2018-04-04T09:57:54.865Z - info: วันที่ 157 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 42 นาที รวม 162 นาที
2018-04-04T09:57:54.865Z - info: day[81] of 364 @2018-06-10
next day = 84
day of 16
2018-04-04T09:57:54.865Z - info: วันที่รดน้ำ => 2018-06-10
2018-04-04T09:57:54.865Z - info: สัปดาห์ที่ 12 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.2226544103254655
ค่า Kc => 0.6
2018-04-04T09:57:54.865Z - info: ค่า ETc ประจำวัน => 2.533592646195279
2018-04-04T09:57:54.865Z - info: วันที่รดน้ำครั้งต่อไป => 2018-06-14
accumulated ETc = 9.758577938702189
2018-04-04T09:57:54.865Z - info: วันที่ 161 ของปี ต้องให้น้ำห่างกัน 4 วัน เป็นเวลา 2 ชั่วโมง 43 นาที รวม 163 นาที
2018-04-04T09:57:54.865Z - info: day[86] of 364 @2018-06-14
next day = 89
day of 17
2018-04-04T09:57:54.866Z - info: วันที่รดน้ำ => 2018-06-14
2018-04-04T09:57:54.866Z - info: สัปดาห์ที่ 12 จากทั้งหมด 52 สัปดาห์
ค่า ETp ประจำวัน => 4.205144074851567
ค่า Kc => 0.6
